document,id,subject,category,country,gender,appeal_date,issue_date,action,all_dates
277,298/12,first update to ua 298/12 on syria (issued 20 february 2013),legal concern|fear for safety|male|syria,syria,,2013-04-03,2013-02-20,first update,2013-02-20|2012-10-04|2013-02-20|2012-10-02|2013-04-03
279,9/13,second update to ua 9/13 on somalia (issued 19 february 2013),somalia|male|unjust imprisonment|legal concern,somalia,,2013-04-02,2013-02-19,second update,2013-02-19|2013-01-19|2013-02-19|2013-04-02|2013-02-12
281,46/13,ua 46/13 on sudan (issued 19 february 2013),fear for safety|legal concern|health concern|female|sudan,sudan,,2013-04-02,2013-02-19,initial,2013-02-19|2013-02-19|2012-11-12|2012-11-05|2012-12-27|2013-04-02
283,174/12,fifth update to ua 174/12 on oman (issued 19 february 2013),prisoner of conscience|legal concern|hunger strike|male|oman,oman,,2013-04-02,2013-02-19,fifth update,2013-02-19|2012-02-19|2012-08-17|2012-09-12|2012-12-10|2013-02-19|2013-02-09|2013-01-16|2013-04-02|2012-05-31|2013-01-16
284,114/12,second update to ua 114/12 on syria (issued 19 february 2013),|subject:  second update to ua 114/12 on syria (issued 19 february 2013),syria,,,2013-02-19,second update,2013-02-19
286,42/13,ua 42/13 on colombia (issued 18 february 2013),death threats|fear for safety|colombia|female,colombia,,2013-03-31,2013-02-18,initial,2013-02-18|2013-02-18|2013-03-31|2010-11-16
288,41/13,ua 41/13 on india (issued 18 february 2013),imminent execution|death penalty|india|male,india,,2013-04-01,2013-02-18,initial,2013-02-18|2013-02-18|2013-04-01|2012-11-21|
290,45/13,ua 45/13 on bolivia (issued 18 february 2013),fear of safety|freedom of expression|female|bolivia,bolivia,,2013-04-01,2013-02-18,initial,2013-02-18|2013-02-18|2013-04-01||2012-04-30
292,44/13,ua 44/13 on colombia (issued 18 february),death threats|fear for safety|colombia|male|female,colombia,,2013-04-01,2013-02-18,initial,2013-02-18|2011-12-09|2013-04-01|2011-03-23
294,281/12,final update to ua 281/12 on china,health concern|risk of torture/ill-treatment|prisoner of conscience|female|china,china,,,2013-02-15,final update,2012-10-04|2013-02-15|2012-09-30
296,43/13,ua 43/13 on malaysia,risk of torture|risk of ill-treatment|legal concern|male|malaysia,malaysia,,2013-03-29,2013-02-15,initial,2013-02-15|2013-02-07|2013-03-29
298,40/13,ua 40/13 on colombia,fear for safety|male|colombia,colombia,,2013-03-29,2013-02-15,initial,2013-02-15|2013-03-29
300,35/13,final update to ua 35/13 on yemen (issued 14 february 2013),death penalty|yemen|male,yemen,,,2013-02-14,final update,2013-02-14|2013-02-11|2013-02-14
302,27/13,first update to ua 27/13 on israel/opt (issued 14 february 2013),torture|ill-treatment|israel/opt|male,israel,,2013-03-28,2013-02-14,first update,2013-02-14|2013-02-05|2013-02-14|2013-02-26|2013-02-26|2013-03-28|2013-01-23|2013-02-11|2012-10-15|2012-11-08|2012-12-12
304,23/13,second update to ua 23/13 on yemen (issued 13 february 2013),death penalty|legal concern|male|yemen,yemen,,2013-03-27,2013-02-13,second update,2013-02-13|2013-01-30|2013-02-04|2013-02-13|2013-03-27||2012-03-23
306,347/12,final update to ua 347/12 on sri lanka (issued 13 february 2013),|subject:  final update to ua 347/12 on sri lanka (issued 13 february 2013),sri lanka,,,2013-02-13,final update,2013-02-13|2012-12-04|2013-01-29|2013-02-13|2012-12-01|2012-12-10|2012-11-27
308,39/13,ua 39/13 on sudan (issued 13 february 2013),imminent execution|death penalty|male|sudan,sudan,,,2013-02-13,initial,2013-02-13|2013-02-13|2010-01-11
310,38/13,ua 38/13 on russia (issued february 13),death threats|fear of safety|male|russia,russian federation,,2013-03-27,2013-02-13,initial,2013-02-13|2013-02-06|2013-03-27|2011-12-15|2012-06-06
312,37/13,ua 37/13 on colombia (issued 13 february 2013),fear of safety|female|male|colombia,colombia,,2013-03-27,2013-02-13,initial,2013-02-13|2013-02-13|2013-03-27|
314,34/13,ua 34/13 on philippines (issued 13 february 2013),prisoner of conscience|freedom of expression|male|philippines,philippines,,2013-03-27,2013-02-13,initial,2013-02-13|2013-02-13|2013-01-28|2010-09-30|2013-03-27
316,36/13,ua 36/13 on israel,hunger strike|health concern|arbitrary detention|male|isreal|palestinian authority,israel,,2013-03-26,2013-02-12,initial,2013-02-12|2012-07-07|2012-08-01|2013-01-31|2013-03-26|2012-07-07|2012-08-01|2011-10-18
318,35/13,ua 35/13 on yemen,death penalty|imminent execution|male|yemen,yemen,,2013-03-25,2013-02-11,initial,2013-02-11|2013-03-25
320,32/13,ua 32/13 on iraq,freedom of expression|arbitrary detention|male|iraq,iraq,,,2013-02-08,initial,2013-02-08
322,31/13,ua 31/13 on sudan,risk of torture|risk of ill-treatment|incommunicado detention|male|sudan,sudan,,2013-03-22,2013-02-08,initial,2013-02-08|2013-03-22
324,33/13,ua 33/13 on india,forced eviction|community|male|female|india,india,,2013-03-22,2013-02-08,initial,2013-02-08|2013-02-03|2013-03-22
326,280/12,final update to ua 280/12 on china,|subject:  final update to ua 280/12 on china,china,,,2013-02-08,final update,2012-10-03|2013-02-08|2012-04-30
328,324/08,final update to ua 324/08 on saudi arabia (issued 7 february),death penalty|saudi arabia|male,saudi arabia,,,2013-02-07,final update,2008-11-26|2013-02-07|||2008-10-14||2008-10-14
330,191/12,third update to ua 191/12 on china (issued 7 february),prisoner of conscience|male|china,china,,2013-03-21,2013-02-07,third update,2012-07-11|2012-01-11|2013-02-07|2013-03-21
332,26/13,ua 26/13 on israel/opt (issued 7 february),hunger strike|unfair trail|health concern|male|israel,israel,,2013-03-21,2013-02-07,initial,2013-02-07|2012-11-28|2012-11-22|2013-03-21|2012-03-21|2012-05-14|2012-06-19|2012-11-22|2012-07-08|2012-05-14|2012-11-22|2012-05-14|2012-12-30
333,30/13,ua 30/13 on honduras (issued 7 february),|subject:  ua 30/13 on honduras (issued 7 february),honduras,,,,initial,
335,29/13,ua 29/13 on sudan (issued 7 february),health concern|arbitrary detention|male|female|sudan,sudan,,2013-03-21,2013-02-07,initial,2013-02-07|2013-03-21
337,18/13,ua 18/13 on angola (issued 6 february),forced evictions|male|female|angola|health concern,angola,,2013-03-20,,initial,2013-02-06|2013-03-20
339,27/13,ua 27/13 on israel,health concern|legal concern|fear for safety|male|israel,israel,,2013-03-19,2013-02-05,initial,2013-02-05|2013-01-23|2013-03-19|2012-10-15|2012-12-12
341,352/12,first update to 352/12 on serbia,forced eviction|serbia|male|female,serbia,,,2013-02-05,unknown,2012-12-10|2013-02-05|2012-12-24
343,28/13,ua 28/13 on mexico,death threats|fear for safety|freedom of expression|abduction|male|female|mexico,mexico,,2013-03-19,2013-02-05,initial,2013-02-05|2013-03-19
345,23/13,first update to ua 23/13 on yemen (issued 4 february),|subject:  first update to ua 23/13 on yemen (issued 4 february),yemen,,2013-02-10,2013-02-04,first update,2013-01-30|2013-02-04|2013-02-10||2012-06-16|2012-03-23
347,339/12,final update to ua 339/12 on iran (issued 4 february),fear for safety|health concern|incommunicado detention|male|iran,iran,,,2013-02-04,final update,2012-11-27|2013-02-04|2012-11-04
349,25/13,ua 25/13 on cuba,prisoner of conscience|freedom of expression|ill-treatment|male|cuba,cuba,,2013-03-13,2013-01-30,initial,2013-01-30|2012-09-16|2013-03-13|2012-09-11
351,24/13,ua 24/13 on haiti,forced eviction|ill-treatment|male|female|haiti,haiti,,2013-03-13,2013-01-30,initial,2013-01-30|2013-03-13|2013-01-12
353,23/13,ua 23/13 on yemen,imminent execution|death penalty|unfair trial|male|yemen,republic of yemen,,2013-02-13,2013-01-30,initial,2013-01-30|2013-02-13||2012-03-23
355,360/12,first update to ua 360/12 on cambodia,unjust imprisonment|legal concern|prisoner of conscience|female|cambodia,cambodia,,2013-03-13,2013-01-30,first update,2012-12-17|2013-01-30|2012-12-27|2013-03-13
357,22/13,ua 22/13 on colombia,death threats|fear for safety|extrajudicial execution|female|colombia,colombia,,2013-03-12,2013-01-29,initial,2013-01-29|2012-12-13|2013-03-12
359,348/12,second update to ua 348/12 on russian federation,freedom of expression|legal concern|lgbt issues|male|female|russia,russia,,2013-03-12,2013-01-29,second update,2012-12-07|2013-01-29|2013-01-25|2013-03-12|2012-12-19|2013-01-25
361,347/12,second update to ua 347/12 on sri lanka,arbitrary detention|risk of torture|legal concern|sri lanka|male,sri lanka,,2013-03-12,2013-01-29,second update,2012-12-04|2013-01-29|2012-12-01|2013-03-12
363,9/13,first update to ua 9/13 on somalia,unjust imprisonment|legal concern|male|somalia,somalia,,2013-03-12,2013-01-29,first update,2013-01-13|2013-01-29|2013-03-12
365,160/11,first update to ua 160/11 on russian federation,enforced disappearance|legal concern|male|russia,russian federation,,2013-03-08,2013-01-25,first update,2013-01-25|2011-05-09|2013-03-08
367,21/13,ua 21/13 on colombia,fear for safety|risk of ill-treatment|death threats|female|male|colombia,colombia,,2013-03-07,2013-01-24,initial,2013-01-24|2013-03-07|2012-12-18
369,13/13,ua 13/13 on china,death penalty|imminent execution|unfair trial|female|china,china,,2013-03-07,2013-01-24,initial,2013-01-24|2011-08-24|2013-03-07
371,01/13,final update to ua 01/13 on qatar,forced return|risk if torture|male|risk of ill-treatment|qatar,qatar,,,2013-01-24,final update,2013-01-04|2011-08-11|2012-09-01|2013-01-02
373,84/12,final update to ua 84/12 on sudan,death penalty|prisoner of conscience|risk of torture|risk of ill-treatment|sudan|female,sudan,,,2013-01-23,final update,2012-03-16|2012-12-14|2013-01-23|2012-03-15|2012-03-15
375,137/12,second update to ua 137/12 on iran,death penalty|imminent execution|risk of torture|risk of ill-treatment|iran|male,iran,,2013-03-04,2013-01-22,second update,2012-05-18|2012-07-19|2013-01-22|2012-07-07|2013-03-04|2011-12-13|2012-06-19
377,12/13,ua 12/13 on colombia,death threats|fear for safety|male|colombia,colombia,,2013-03-04,2013-01-21,initial,2013-01-21|2013-03-04||2012-07-18
379,10/13,ua 10/13 on laos,abduction|fear for safety|male|laos,laos,,2013-03-01,2013-01-18,initial,2013-01-18|2012-12-15|2013-03-01
381,9/13,ua 9/13 on somalia,prisoner of conscience|sexual violence|health concern|male|somalia,somalia,,2013-03-01,2013-01-18,initial,2013-01-18|2013-03-01
383,8/13,first update to ua 8/13 on bahrain,freedom of expression|ill-treatment|male|bahrain,bahrain,,2013-02-28,2013-01-17,first update,2013-01-16|2013-01-17|2013-01-17|2012-12-17|2013-01-09|2013-02-28|2012-08-15|2012-09-11|2012-10-20|2012-11-02|2011-06-29
385,8/13,ua 8/13 on bahrain,freedom of expression|ill-treatment|male|bahrain,bahrain,,2013-02-27,2013-01-16,initial,2013-01-16|2012-12-17|2013-01-09|2013-02-27|2012-08-15|2012-09-11|2012-10-20|2012-11-02|2011-06-29
387,11/13,ua 11/13 on azerbaijan,impunity|fear for safety|azerbaijan|male|female,azerbaijan,,2013-02-26,2013-01-15,initial,2013-01-15|2013-02-26
389,336/12,first update to ua 336/12 on indonesia (issued 15 january),forced eviction|impunity|fear for safety|male|female|indonesia,indonesia,,2013-02-26,2013-01-15,first update,2012-11-26|2013-01-15|2013-02-26|2011-12-29
391,337/12,first update to ua 337/12 on india (issued 14 january),imminent execution|death penalty|male|india,india,,2013-02-25,2013-01-14,first update,2012-11-26|2013-01-14|2012-11-21|2013-02-25|2012-11-21|
393,1/13,first update to ua 1/13 on qatar (issued january 14),forced return|risk of torture/ ill-treatment|male|qatar,qatar,,2013-02-25,2013-01-14,first update,2013-01-04|2013-01-14|2012-09-01|2013-01-02|2013-02-25
395,7/13,ua 7/13 on united arab emirates (issued 11 january),forcible return|risk of ill-treatment|risk of torture|male|united arab emirates,united arab emirates,,2013-02-22,2013-01-11,initial,2013-01-11|2013-02-22
397,6/13,ua 6/13 on thailand (issued 11 january),prisoner of conscience|freedom of expression|male|thailand|uas 2013,thailand,,2013-02-22,2013-01-11,initial,2013-01-11|2013-01-23|2011-04-30|2013-02-22
399,191/12,second update to ua 191/12 on china (issued 11 january),risk of torture|risk of ill-treatment|incommunicado detention|enforced disappearance|male|china,china,,2013-02-22,2013-01-11,second update,2012-07-11|2013-01-11|2012-06-08|2013-02-22|2013-01-01
401,350/12,final update to ua 350/12 on syria (issued january 11),incommunicado detention|enforced disappearance|risk of torture|risk of ill-treatment|female|syria,syria,,,2013-01-11,final update,2012-12-07|2013-01-11|2013-01-09
403,2/13,final update to ua 2/13 on iran (issued 10 january),prisoner of conscience|health concern|hunger strike|male|iran|uas 2013,iran,,,2013-01-10,final update,2013-01-04|2013-01-10
405,27/07,first update to ua 27/07 on saudi arabia (issued 10 january),incommunicado detention|prisoner of conscience|risk of torture|risk of ill-treatment|legal professionals|male|saudi arabia|uas 2013,saudi arabia,,2013-02-21,2013-01-10,first update,2007-02-05|2013-01-10|2013-02-21|2011-11-22
407,175/07,final update to 175/07 on saudi arabia,death penalty|unfair trial|ill-treatment|woman|saudi arabia|sri lanka|uas 2013,saudi arabia,,,2013-01-09,unknown,2007-07-05|2012-10-27|2013-01-07|2013-01-09|2007-06-16|2010-10-25|
409,278/12,final update to ua 278/12 on egypt,prisoner of conscience|freedom of expression|male|religious discrimination|egypt|internet freedom|uas 2013,egypt,,,2013-01-09,final update,2012-09-28|2012-12-03|2013-01-09|2012-12-12|2013-01-26|2012-09-13|2012-11-28
411,175/07,third update to ua 175/07 on saudi arabia,death penalty|imminent execution|legal concern|saudi arabia|female|uas 2013,saudi arabia,,2013-02-18,2013-01-07,third update,2007-07-05|2010-10-27|2013-01-07|2007-06-16|2013-02-18||2008-10-14
413,5/13,ua 5/13 on syria,enforced disappearance|incommunicado detention|risk of ill-treatment|risk of torture|activist|male|syria|uas 2013#,syria,,2013-02-18,2013-01-07,initial,2012-11-24|2011-11-18|2012-01-10|2013-02-18|2013-01-07
415,4/13,ua 4/13 on mexico,fear for safety|death threats|intimidation|harassment|mexico|male|female|uas 2013,mexico,,2013-02-18,2013-01-07,initial,2013-01-07|2013-02-18
417,3/13,ua 3/13 on saudi arabia,prisoner of conscience|freedom of expression|arbitrary arrest|health concern|male|saudi arabia|uas 2013,saudi arabia,,2013-02-18,2013-01-04,initial,2013-01-04|2012-06-17|2013-02-18
419,1/12,ua 1/12 on qatar,forced return|risk of torture/ ill-treatment|uas 2013|male|saudi arabia,qatar,,2013-02-15,2013-01-04,initial,2013-01-04|2011-08-11|2012-09-01|2013-01-02|2013-02-15
421,2/13,ua 2/13 on iran,prisoner of conscience|health concern|hunger strike|trade unionist|male|iran|uas 2013,iran,,2013-02-18,2013-01-04,initial,2013-01-04|2012-12-17|2012-12-17|2012-05-23|2013-02-18|2005-12-22|2010-12-04|2010-12-19|2011-11-12|2012-09-24|2012-10-20|2012-12-31|2011-11-27|2012-10-28|2012-12-15
423,362/12,final update to 362/12 on bahrain,arbitrary arrest|risk of torture/ ill-treatment|legal concern|children|male|syria|uas 2012,bahrain,,,2013-01-02,unknown,2012-12-18|2013-01-02|2012-12-20
425,114/12,second update to ua 114/12 on syria (issued 24 december; withdrawn 2 january),health concern|risk of torture/ ill-treatment|arbitrary detention|syria|male|uas 2012,syria,,2013-02-04,2012-12-24,second update,2012-04-20|2012-05-09|2012-12-24|2012-02-18|2013-02-04
427,367/11,eigth update to ua 367/11 on india,arbitrary arrest|freedom of expression|activist|male|uas 2012,india,,2013-02-01,2012-12-21,eigth update,2011-12-21|2012-03-07|2012-03-22|2012-12-21|2013-02-01
429,357/12,first update to ua 357/12 on jordan (issued on 21 december),health concern|arbitrary detention|freedom of assembly|ill-treatment|activist|male|jordan|uas 2012,jordan,,2012-02-01,2012-12-21,first update,2012-12-13|2012-12-21|2012-02-01|2012-11-19
431,348/12,first update to ua 348/12 russian federation (issued december 20),freedom of expression|lgbt issues|female|male|russia|uas 2012,russia,,2013-01-31,2012-12-20,first update,2012-12-07|2012-12-20|2013-01-22|2012-12-19|2013-01-31
433,362/12,first update to ua 362/12 on bahrain (issued 20 december),arbitrary arrest|risk of torture/ ill-treatment|legal concern|children|male|bahrain|uas 2012#,bahrain,,2013-01-31,2012-12-20,first update,2012-12-18|2012-12-20|2012-12-20|2013-01-31|2011-06-29
435,351/12,first update to ua 351/12 on iraq (issued december 20),arbitrary detention|risk of torture/ ill-treatment|health concern|male|uas 2012,iraq,,2013-01-31,2012-12-20,first update,2012-12-20|2013-01-31
437,365/12,ua 365/12 on peru (issued 19 december),fear for safety|impunity|intimidation|human rights defender|peru|female|male|uas 2012,peru,,2013-01-30,2012-12-19,initial,2012-12-19|2013-01-30
439,364/12,ua 364/12 on algeria (issued 19 december),arbitrary arrest|freedom of expression|enforced disappearance|human rights defender|algeria|male|female|uas 2012,algeria,,2013-01-30,2012-12-19,initial,2012-12-19|2013-01-30
441,363/12,urgent action 363/12 on kazakhstan (issued 19 december),health concern|harsh prison conditions|kazakhstan|male|uas 2012,kazakhstan,,2013-01-30,2012-12-19,unknown,2012-12-19|2013-01-30
443,326/12,first update to ua 326/12 on bahrain (issued 19 december),freedom of expression|legal concern|prisoners of conscience|unjust imprisonment|bahrain|male|uas 2012,bahrain,,2013-01-30,2012-12-19,first update,2012-11-08|2012-12-19|2012-12-05|2012-12-24||2013-01-30|2012-10-30
